id,image_id,area,category_id,video_id,track_id,bbox_x,bbox_y,bbox_w,bbox_h
0,0,46314,2,0,0,1783,1079,186,249
1,0,47425,2,0,1,1547,694,271,175
2,0,20898,2,0,2,1811,367,129,162
3,0,27938,1,0,3,1588,360,122,229
4,0,18122,2,0,4,3386,75,221,82
5,1,47817,2,0,0,1776,1109,189,253
6,1,49840,2,0,1,1537,720,280,178
7,1,22468,2,0,2,1799,387,137,164
8,1,28536,1,0,3,1580,380,123,232
9,1,15900,2,0,4,3395,95,212,75
10,1,20336,2,0,5,2928,0,248,82
11,2,49794,2,0,0,1768,1141,193,258
12,2,48720,2,0,1,1530,750,280,174
13,2,23925,2,0,2,1788,407,145,165
14,2,29140,1,0,3,1572,399,124,235
15,2,16302,2,0,4,3400,111,209,78
16,2,26765,2,0,5,2926,0,265,101
17,3,51352,2,0,0,1760,1174,196,262
18,3,47880,2,0,1,1524,780,280,171
19,3,25551,2,0,2,1776,427,153,167
20,3,29750,1,0,3,1563,419,125,238
21,3,16767,2,0,4,3406,126,207,81
22,3,30058,2,0,5,2934,0,266,113
23,4,52722,2,0,0,1750,1208,202,261
24,4,46760,2,0,1,1517,809,280,167
25,4,27040,2,0,2,1764,447,160,169
26,4,30125,1,0,3,1555,439,125,241
27,4,17136,2,0,4,3411,142,204,84
28,4,30705,2,0,5,2938,13,267,115
29,5,54796,2,0,0,1741,1244,206,266
30,5,45640,2,0,1,1510,839,280,163
31,5,28728,2,0,2,1752,467,168,171
32,5,30744,1,0,3,1547,458,126,244
33,5,17372,2,0,4,3417,157,202,86
34,5,31204,2,0,5,2941,26,269,116
35,6,57603,2,0,0,1731,1281,211,273
36,6,44800,2,0,1,1504,869,280,160
37,6,30272,2,0,2,1741,487,176,172
38,6,31369,1,0,3,1539,478,127,247
39,6,17711,2,0,4,3422,173,199,89
40,6,31860,2,0,5,2945,39,270,118
41,7,61758,2,0,0,1720,1319,219,282
42,7,43680,2,0,1,1497,899,280,156
43,7,32016,2,0,2,1729,507,184,174
44,7,32000,1,0,3,1530,498,128,250
45,7,18124,2,0,4,3428,188,197,92
46,7,32249,2,0,5,2948,52,271,119
47,8,59740,2,0,0,1728,1359,206,290
48,8,42560,2,0,1,1490,928,280,152
49,8,33408,2,0,2,1720,532,192,174
50,8,32637,1,0,3,1522,517,129,253
51,8,18430,2,0,4,3433,204,194,95
52,8,32640,2,0,5,2954,70,272,120
53,9,55550,2,0,0,1719,1400,202,275
54,9,41720,2,0,1,1484,958,280,149
55,9,34974,2,0,2,1711,558,201,174
56,9,33280,1,0,3,1514,537,130,256
57,9,19012,2,0,4,3440,225,196,97
58,9,33033,2,0,5,2960,87,273,121
59,10,57810,2,0,0,1709,1446,205,282
60,10,40600,2,0,1,1477,988,280,145
61,10,36366,2,0,2,1703,583,209,174
62,10,33670,1,0,3,1506,557,130,259
63,10,19404,2,0,4,3447,246,198,98
64,10,33428,2,0,5,2967,105,274,122
65,11,60401,2,0,0,1699,1492,209,289
66,11,45280,2,0,1,1468,1017,283,160
67,11,37932,2,0,2,1692,609,218,174
68,11,34322,1,0,3,1497,576,131,262
69,11,20000,2,0,4,3454,267,200,100
70,11,33825,2,0,5,2973,122,275,123
71,12,62752,2,0,0,1689,1538,212,296
72,12,50160,2,0,1,1459,1047,285,176
73,12,39324,2,0,2,1685,634,226,174
74,12,34980,1,0,3,1489,596,132,265
75,12,20706,2,0,4,3462,288,203,102
76,12,34224,2,0,5,2979,140,276,124
77,13,65145,2,0,0,1680,1589,215,303
78,13,55008,2,0,1,1450,1076,288,191
79,13,41314,2,0,2,1677,663,227,182
80,13,35245,1,0,3,1479,626,133,265
81,13,21115,2,0,4,3469,308,205,103
82,13,34625,2,0,5,2985,157,277,125
83,14,67671,2,0,0,1672,1641,219,309
84,14,59946,2,0,1,1441,1111,291,206
